player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position_x,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain,player_id,first_name,last_name,last_season,current_club_id,player_code,market_value_in_eur,height_in_cm,date_of_birth
Ayoze Pérez,Newcastle United,EPL,36,2369,7,7,0,5.746194876730442,2.9009934663772583,5.746194876730442,0.2183020425942337,0.1102108113017953,0.2183020425942337,F M S,61,28,0,0,3.019625613465905,9.56750475242734,246968,Ayoze,Pérez,2024,1050,ayoze-perez,10000000.0,178.0,1993-07-29 00:00:00
Charlie Adam,Stoke,EPL,29,1482,7,6,1,3.4077700218185782,2.649148855358362,2.646601184271276,0.2069495964667153,0.1608794851432203,0.1607247682755835,M S,62,33,5,0,3.741002993658185,6.183591176755726,28990,Charlie,Adam,2021,511,charlie-adam,350000.0,185.0,1985-12-10 00:00:00
Glenn Murray,Crystal Palace,EPL,17,859,7,6,3,9.534016601741314,1.5268458230420947,8.011715702712536,0.9989074437214416,0.1599722049753068,0.8394114240327453,F S,38,7,3,1,0.8191248010843992,5.48577272053808,45693,Glenn,Murray,2019,1237,glenn-murray,300000.0,186.0,1983-09-25 00:00:00
Aaron Ramsey,Arsenal,EPL,29,2013,6,6,6,6.636925790458918,5.299688201397657,6.636925790458918,0.2967328967418294,0.2369458212249325,0.2967328967418294,M S,63,47,6,0,8.166224788874388,16.72075515240431,50057,Aaron,Ramsey,2022,417,aaron-ramsey,2500000.0,178.0,1990-12-26 00:00:00
Aaron Ramsey,Arsenal,EPL,29,2013,6,6,6,6.636925790458918,5.299688201397657,6.636925790458918,0.2967328967418294,0.2369458212249325,0.2967328967418294,M S,63,47,6,0,8.166224788874388,16.72075515240431,646658,Aaron,Ramsey,2023,1132,aaron-ramsey,15000000.0,181.0,2003-01-21 00:00:00
Jason Puncheon,Crystal Palace,EPL,37,2823,6,6,7,2.7942801611498,5.30593179538846,2.7942801611498,0.0890843834585483,0.1691582931579743,0.0890843834585483,F M S,65,65,7,1,4.623076220043004,8.855646732263267,47995,Jason,Puncheon,2018,1110,jason-puncheon,300000.0,173.0,1986-06-18 00:00:00
Ander Herrera,Manchester United,EPL,26,1877,6,6,4,2.0372265269979835,2.1199880270287395,2.0372265269979835,0.0976826784389017,0.1016509975666417,0.0976826784389017,M S,37,26,6,0,8.672010965645313,11.650218524038792,99343,Ander,Herrera,2023,621,ander-herrera,2000000.0,182.0,1989-08-14 00:00:00
Jordan Henderson,Liverpool,EPL,37,3253,6,5,9,4.294427355751395,6.793562995269895,3.533258492127061,0.1188129302236783,0.1879559390022411,0.0977538470001338,M S,50,67,6,0,8.795097372494638,16.310876918956637,61651,Jordan,Henderson,2024,610,jordan-henderson,3500000.0,182.0,1990-06-17 00:00:00
Marouane Fellaini,Manchester United,EPL,27,1824,6,6,0,5.314917840063572,1.1519180983304975,5.314917840063572,0.2622492355294525,0.05683806406236,0.2622492355294525,M S,36,21,5,1,4.703867077827454,9.252811420708897,39679,Marouane,Fellaini,2018,985,marouane-fellaini,1000000.0,194.0,1987-11-22 00:00:00
Oscar,Chelsea,EPL,28,2072,6,6,8,6.5403791926801205,5.224342029541731,6.5403791926801205,0.2840898297978816,0.2269260534067354,0.2840898297978816,F M S,72,37,5,0,7.14996306411922,15.803945265710354,85314,,Oscar,2016,631,oscar,7500000.0,179.0,1991-09-09 00:00:00
Leroy Fer,Queens Park Rangers,EPL,29,2375,6,6,2,5.116700017824769,3.586207873187959,5.116700017824769,0.1938960006754649,0.1358984036155437,0.1938960006754649,M S,54,48,4,0,4.38906722702086,10.680140810087323,63342,Leroy,Fer,2023,11282,leroy-fer,200000.0,188.0,1990-01-05 00:00:00
Steven Naismith,Everton,EPL,31,2051,6,6,0,3.948357157409191,1.9437066242098808,3.948357157409191,0.1732579932554008,0.0852918557673765,0.1732579932554008,F M S,33,25,8,0,2.953010508790612,7.202266559004784,12763,Steven,Naismith,2019,43,steven-naismith,450000.0,178.0,1986-09-14 00:00:00
Gabriel Agbonlahor,Aston Villa,EPL,34,2698,6,6,1,5.630619659088552,1.5529494481161237,5.630619659088552,0.1878264526753038,0.0518033544590256,0.1878264526753038,F S,53,16,7,1,1.656528471969068,8.03916365839541,37148,Gabriel,Agbonlahor,2015,405,gabriel-agbonlahor,1000000.0,183.0,1986-10-13 00:00:00
Stewart Downing,West Ham,EPL,37,3315,6,6,8,4.136291523464024,6.626502505969256,4.136291523464024,0.1122975074243626,0.17990504541093,0.1122975074243626,F M,70,85,3,0,7.3311774879693985,13.642641877755525,4063,Stewart,Downing,2016,641,stewart-downing,200000.0,180.0,1984-07-22 00:00:00
Frank Lampard,Manchester City,EPL,32,958,6,6,1,4.004464738070965,0.9529220014810562,4.004464738070965,0.3762023240358944,0.0895229437717067,0.3762023240358944,M S,32,15,1,0,7.293270911090076,11.03933526854962,3163,Frank,Lampard,2014,281,frank-lampard,1000000.0,184.0,1978-06-20 00:00:00
Adam Lallana,Liverpool,EPL,27,1802,5,5,3,4.768366973847151,3.141797695308924,4.768366973847151,0.2381537334329875,0.1569155341719218,0.2381537334329875,F M S,38,33,4,0,4.900887405499816,10.234401380643249,43530,Adam,Lallana,2024,180,adam-lallana,900000.0,172.0,1988-05-10 00:00:00
Philippe Coutinho,Liverpool,EPL,35,2810,5,5,5,4.376544035039842,5.527065984904766,4.376544035039842,0.1401740082397102,0.1770234657086935,0.1401740082397102,F M S,103,59,3,0,7.004489665850997,13.680517992004752,80444,Philippe,Coutinho,2023,405,philippe-coutinho,7500000.0,172.0,1992-06-12 00:00:00
James Milner,Manchester City,EPL,32,1732,5,5,7,5.722100425511599,4.971144262701273,5.722100425511599,0.2973377819261223,0.2583158104175026,0.2973377819261223,F M S,39,52,6,0,8.751346262171865,15.702087476849556,3333,James,Milner,2024,1237,james-milner,1000000.0,175.0,1986-01-04 00:00:00
Theo Walcott,Arsenal,EPL,14,427,5,5,0,5.347009994089603,0.4013859927654266,5.347009994089603,1.1270044484029609,0.0846012631121508,1.1270044484029609,F M S,23,4,0,0,0.6996185854077339,5.9333066791296005,33713,Theo,Walcott,2022,180,theo-walcott,1000000.0,175.0,1989-03-16 00:00:00
Mile Jedinak,Crystal Palace,EPL,24,2092,5,2,3,3.902254626620561,0.99168283585459,1.6187480636872351,0.1678790231337717,0.0426632195157328,0.0696402130649384,M,31,14,3,1,2.9935822002589703,3.5401348993182182,28336,Mile,Jedinak,2016,873,mile-jedinak,1500000.0,187.0,1984-08-03 00:00:00
Connor Wickham,Sunderland,EPL,36,2782,5,5,1,7.663333743810654,1.7667257795110345,7.663333743810654,0.247915182222487,0.0571550395959716,0.247915182222487,F M S,83,21,8,0,4.778484398499131,12.30491459555924,95435,Connor,Wickham,2020,873,connor-wickham,400000.0,189.0,1993-03-31 00:00:00
Andy Carroll,West Ham,EPL,14,1032,5,5,1,3.693268451839685,0.7689819522202015,3.693268451839685,0.3220873649860191,0.0670623795540873,0.3220873649860191,F S,37,11,2,0,0.4689184091985225,3.288496132940054,48066,Andy,Carroll,2020,762,andy-carroll,300000.0,193.0,1989-01-06 00:00:00
Dwight Gayle,Crystal Palace,EPL,25,1069,5,4,1,5.163298174738884,0.766508536413312,4.402129277586937,0.4347023720547236,0.0645329918402227,0.3706189288894521,F M S,30,16,1,0,0.8092568069696426,3.3746634889394045,196522,Dwight,Gayle,2024,903,dwight-gayle,100000.0,174.0,1989-10-17 00:00:00
Jamie Vardy,Leicester,EPL,34,2261,5,5,8,7.851606417447329,5.18264844827354,7.851606417447329,0.3125363014463775,0.206297372996293,0.3125363014463775,F M S,48,35,5,0,2.142568826675415,14.46846075169742,197838,Jamie,Vardy,2024,1003,jamie-vardy,1000000.0,179.0,1987-01-11 00:00:00
Shane Long,Southampton,EPL,32,1522,5,5,5,4.035826779901981,2.735771756619215,4.035826779901981,0.2386494153687111,0.1617736255556697,0.2386494153687111,F M S,37,21,2,0,3.2859599888324738,9.551560491323473,37304,Shane,Long,2021,180,shane-long,250000.0,180.0,1987-01-22 00:00:00
John Terry,Chelsea,EPL,38,3420,5,5,0,5.21680910885334,0.3966271262615919,5.21680910885334,0.1372844502329826,0.0104375559542524,0.1372844502329826,D,20,7,2,0,8.167878993786871,8.54557874891907,3160,John,Terry,2016,631,john-terry,1000000.0,187.0,1980-12-07 00:00:00
Steven Fletcher,Sunderland,EPL,30,1782,5,5,2,6.642455920577049,2.0515788961201906,6.642455920577049,0.3354775717463156,0.1036150957636459,0.3354775717463156,F M S,37,17,4,0,2.307069686241448,9.389526054263117,35099,Steven,Fletcher,2022,1519,steven-fletcher,200000.0,185.0,1987-03-26 00:00:00
Stevan Jovetic,Manchester City,EPL,17,791,5,5,3,3.329761994071305,1.8126026093959808,3.329761994071305,0.3788604038766339,0.2062379707277348,0.3788604038766339,F M S,38,15,0,0,3.645845679566264,6.673779793083668,46104,Stevan,Jovetic,2023,683,stevan-jovetic,700000.0,183.0,1989-11-02 00:00:00
George Boyd,"Burnley,Hull",EPL,36,3035,5,5,2,3.4792170291766524,3.5598809821531177,3.4792170291766524,0.1031728278833274,0.1055648396684614,0.1031728278833274,M S,49,36,7,0,3.811831835657358,9.525841981172562,45623,George,Boyd,2016,1132,george-boyd,1200000.0,186.0,1985-10-02 00:00:00
David Nugent,Leicester,EPL,29,1685,5,4,2,6.229932998307049,1.8909174874424928,4.70759526733309,0.3327560651914744,0.1009985601601331,0.2514442576023609,F M S,41,21,3,0,2.336387704126537,7.812488311901689,33963,David,Nugent,2016,641,david-nugent,200000.0,180.0,1985-05-02 00:00:00
Ashley Barnes,Burnley,EPL,35,2435,5,5,2,5.690879393368959,1.823077050037682,5.690879393368959,0.2103405114592223,0.0673827246420498,0.2103405114592223,F M S,66,30,4,1,3.2729206513613462,9.151077944785357,63200,Ashley,Barnes,2021,1132,ashley-barnes,1000000.0,185.0,1989-10-30 00:00:00
Esteban Cambiasso,Leicester,EPL,31,2432,5,5,1,2.480083841830492,1.938136932440102,2.480083841830492,0.0917794184887928,0.071723817401155,0.0917794184887928,M S,29,37,1,0,4.195096199400723,7.089135630056262,7520,Esteban,Cambiasso,2016,683,esteban-cambiasso,500000.0,177.0,1980-08-18 00:00:00
Daniel Sturridge,Liverpool,EPL,12,747,4,4,1,4.518866069614887,1.51829581707716,4.518866069614887,0.5444416951343237,0.1829272068767662,0.5444416951343237,F S,39,11,0,0,1.785387766547501,7.007463209331036,47082,Daniel,Sturridge,2019,449,daniel-sturridge,200000.0,182.0,1989-09-01 00:00:00
Mesut Özil,Arsenal,EPL,22,1861,4,4,5,3.860026102513075,6.6569958999753,3.860026102513075,0.1866750936196543,0.3219396190208366,0.1866750936196543,F M S,29,69,0,0,9.916828630492091,16.416587620973587,35664,Mesut,Özil,2022,6890,mesut-ozil,700000.0,180.0,1988-10-15 00:00:00
Danny Welbeck,"Arsenal,Manchester United",EPL,27,1714,4,4,3,7.272419456392527,2.887719687074423,7.272419456392527,0.3818656657382306,0.1516305553306289,0.3818656657382306,F M S,58,30,3,0,4.489677244797349,12.937738237902522,67063,Danny,Welbeck,2024,1237,danny-welbeck,5000000.0,185.0,1990-11-26 00:00:00
Yannick Bolasie,Crystal Palace,EPL,34,2788,4,4,6,4.837671763263643,5.125396749004722,4.837671763263643,0.1561658747108062,0.1654539840066086,0.1561658747108062,F M S,69,46,3,0,3.093482771888376,11.88829618319869,75471,Yannick,Bolasie,2021,126,yannick-bolasie,250000.0,185.0,1989-05-24 00:00:00
Wilfried Zaha,Crystal Palace,EPL,31,1989,4,4,2,4.761631336063147,2.1885991133749485,4.761631336063147,0.2154584314960699,0.0990316340893641,0.2154584314960699,F M S,40,14,1,0,2.300881713628769,6.59307062253356,145988,Wilfried,Zaha,2023,141,wilfried-zaha,11000000.0,180.0,1992-11-10 00:00:00
Cheikhou Kouyaté,West Ham,EPL,31,2670,4,4,2,3.0627187211066484,1.1875265780836344,3.0627187211066484,0.1032377097002241,0.0400289857781,0.1032377097002241,D M S,33,14,5,0,3.3148058373481035,6.412815572693944,66934,Cheikhou,Kouyaté,2023,703,cheikhou-kouyate,1000000.0,189.0,1989-12-21 00:00:00
Enner Valencia,West Ham,EPL,32,2119,4,4,3,6.480698645114899,2.5936690075322986,6.480698645114899,0.2752538358000664,0.1101605524671575,0.2752538358000664,F M S,72,18,2,0,2.8980725412257016,8.838933130726218,139503,Enner,Valencia,2022,36,enner-valencia,3800000.0,177.0,1989-11-04 00:00:00
Morgan Schneiderlin,Southampton,EPL,26,2183,4,4,1,2.391752079129219,1.5581415556371212,2.391752079129219,0.0986063614849426,0.0642385432924145,0.0986063614849426,M S,31,20,5,1,7.155299138277769,8.423094525933266,56818,Morgan,Schneiderlin,2023,30120,morgan-schneiderlin,300000.0,186.0,1989-11-08 00:00:00
Phil Jagielka,Everton,EPL,37,3295,4,4,0,2.3946315087378025,0.0706789940595626,2.3946315087378025,0.0654072339260704,0.0019305339803825,0.0654072339260704,D,15,2,1,0,7.00229761749506,7.111543036997318,13520,Phil,Jagielka,2020,350,phil-jagielka,200000.0,180.0,1982-08-17 00:00:00
Chris Smalling,Manchester United,EPL,25,1881,4,4,0,1.8635459579527376,0.391870304942131,1.8635459579527376,0.0891648783709443,0.0187497753560828,0.0891648783709443,D S,17,5,1,1,4.005902802571654,4.172036854550242,103427,Chris,Smalling,2023,12,chris-smalling,2500000.0,194.0,1989-11-22 00:00:00
Fraizer Campbell,Crystal Palace,EPL,20,1187,4,4,0,4.22113598138094,0.4663840346038341,4.22113598138094,0.3200524332976281,0.0353618897340733,0.3200524332976281,F M S,25,8,5,0,0.7666492015123367,3.951981191523373,42411,Fraizer,Campbell,2016,873,fraizer-campbell,150000.0,172.0,1987-09-13 00:00:00
Branislav Ivanovic,Chelsea,EPL,38,3420,4,4,5,4.370111751370132,5.31574872136116,4.370111751370132,0.1150029408255298,0.1398881242463463,0.1150029408255298,D,44,35,10,1,11.982984997332096,17.022210773080587,36827,Branislav,Ivanovic,2020,984,branislav-ivanovic,500000.0,185.0,1984-02-22 00:00:00
Jermain Defoe,Sunderland,EPL,17,1468,4,4,0,4.020909581333399,1.260544329881668,4.020909581333399,0.2465135301907397,0.0772813281262603,0.2465135301907397,F M,34,13,1,0,2.511991862207651,7.368556208908558,3875,Jermain,Defoe,2021,124,jermain-defoe,400000.0,171.0,1982-10-07 00:00:00
Riyad Mahrez,Leicester,EPL,30,2091,4,4,3,4.923194452188909,6.056509282439947,4.923194452188909,0.2119022002376862,0.2606818916401699,0.2119022002376862,M S,63,44,0,0,3.296926638111472,11.149429438635709,171424,Riyad,Mahrez,2022,281,riyad-mahrez,18000000.0,179.0,1991-02-21 00:00:00
Jack Colback,Newcastle United,EPL,35,3130,4,4,6,2.8249619929119945,2.3404143704101443,2.8249619929119945,0.0812289390933161,0.0672962598520488,0.0812289390933161,D M,27,44,12,0,4.668527426198125,7.598446445539594,61644,Jack,Colback,2022,703,jack-colback,600000.0,177.0,1989-10-24 00:00:00
Moussa Sissoko,Newcastle United,EPL,34,3037,4,4,2,3.9524447536095977,4.653360825031996,3.9524447536095977,0.1171287546344628,0.1379000573766478,0.1171287546344628,M,44,44,7,2,6.720511130988598,12.273813085630536,46001,Moussa,Sissoko,2023,995,moussa-sissoko,1200000.0,187.0,1989-08-16 00:00:00
Adam Johnson,Sunderland,EPL,32,2085,4,3,1,3.2225706931203604,3.918955043889582,2.461401855573058,0.1391037709260587,0.1691635270743704,0.1062475621110672,F M S,25,39,2,0,4.618605230003595,7.580855485983193,31579,Adam,Johnson,2015,289,adam-johnson,7500000.0,182.0,1987-07-14 00:00:00
Jordi Gómez,Sunderland,EPL,29,1952,4,1,2,3.721912106499076,1.7920808214694262,1.4384055938571692,0.1716045540906336,0.0826266772193895,0.066319930044644,M S,31,23,7,0,4.437606098130345,6.745259866118431,39010,Jordi,Gómez,2015,289,jordi-gomez,200000.0,178.0,1985-05-24 00:00:00
Brown Ideye,West Bromwich Albion,EPL,24,1286,4,4,2,3.969937544316053,1.232260012999177,3.969937544316053,0.277833887238293,0.0862390366795691,0.277833887238293,F S,30,11,2,0,1.5735353119671345,4.579364825040102,64308,Brown,Ideye,2021,1467,brown-ideye,100000.0,181.0,1988-10-10 00:00:00
Abel Hernández,Hull,EPL,25,1307,4,3,1,5.410243159160018,0.8517510555684566,4.649111097678542,0.3725492611510341,0.0586515646527628,0.320137719044429,F S,52,9,2,0,0.8264674860984087,4.14481639675796,76608,Abel,Hernández,2018,2410,abel-hernandez,1000000.0,185.0,1990-08-08 00:00:00
Didier Drogba,Chelsea,EPL,28,831,4,4,1,2.728672436438501,1.5343713704496622,2.728672436438501,0.2955240905890073,0.1661774047418406,0.2955240905890073,F S,30,14,5,0,2.011723157018423,5.031835989095271,3924,Didier,Drogba,2014,631,didier-drogba,500000.0,189.0,1978-03-11 00:00:00
Mohamed Diamé,"Hull,West Ham",EPL,15,937,4,4,0,1.2090785708278418,0.1744058113545179,1.2090785708278418,0.1161334806558225,0.0167518922325577,0.1161334806558225,M S,17,3,2,0,0.9010879304260015,2.138137092813849,70950,Mohamed,Diamé,2018,762,mohamed-diame,200000.0,184.0,1987-06-14 00:00:00
